id,reviewId,creationDate,criticName,isTopCritic,originalScore,reviewState,publicatioName,reviewText,scoreSentiment,reviewUrl
diary_of_a_mad_black_woman,1,3/4/2005,James Rocchi,FALSE,5-Jan,rotten,Netflix,"Sloppy, insipid mishmash of female empowerment, Christian thought and gun-and-weed jokes is an early front-runner for Worst Film of 2005.",NEGATIVE,http://www.netflix.com/MovieDisplay?movieid=70019511&trkid=23938&dmode=NETFLIXREVIEW
the_burbs,2,1/1/2000,Hal Hinson,TRUE,,rotten,Washington Post,"Why is it not funny? It's just not. Not remotely, momentarily, intermittently or otherwise funny.",NEGATIVE,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/theburbspghinson_a0a8db.htm
the_burbs,3,1/1/2000,Desson Thomson,TRUE,,rotten,Washington Post,"Although it initially flares up on high-concept firewood, this caper about nasty neighbors and curious klutzes gradually dies down into isolated crackles, sputters and phuts.",NEGATIVE,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/theburbspghowe_a0c888.htm
10,17,1/1/2000,Tim Dirks,FALSE,,fresh,Filmsite,"10 (1979) is known for its numerical rating system for beautiful women. It described itself as ""a temptingly tasteful comedy for adults",POSITIVE,http://www.filmsite.org/ten.html
1000013_12_angry_men,24,1/1/2000,Urban Cinefile Critics,FALSE,,fresh,Urban Cinefile,"A film with texture, humour and relevance at all times. All in 91 minutes.",POSITIVE,http://www.urbancinefile.com.au/home/view.asp?a=2855&s=Reviews
1000013_12_angry_men,27,1/1/2000,Steve Rhodes,FALSE,4-Apr,fresh,Internet Reviews,"In a time of bloated when special effects have become the real stars, going back to a classic like this can remind viewers what movie making is supposed to be about -- acting.",POSITIVE,http://reviews.imdb.com/Reviews/90/9085
1776,48,1/1/2000,Nell Minow,TRUE,5-May,fresh,Movie Mom,,POSITIVE,
1776,49,1/1/2000,MaryAnn Johanson,FALSE,10-Sep,fresh,Flick Filosopher,,POSITIVE,
1941,70,1/1/2000,Ian Freer,TRUE,5-Mar,fresh,Empire Magazine,"Unworkable farce, it maybe, but it is also blessed with the buzz of brilliance.",POSITIVE,http://www.empireonline.co.uk/reviews/search.asp?ss=1941&sb=t&or=bf&f=1&c=&r=0&cp=1&x=19&y=2
2001_a_space_odyssey,92,1/1/2000,Renata Adler,TRUE,,rotten,New York Times,"The movie is so completely absorbed in its own problems, its use of color and space, its fanatical devotion to science-fiction detail, that its is somewhere between hypnotic and immensely boring.",NEGATIVE,http://www.nytimes.com/library/film/040468kubrick-2001.html
2001_a_space_odyssey,93,1/1/2000,Scott Rosenberg,TRUE,,fresh,Salon.com,I assumed that this was what all movies ought to be: treasures for moral and aesthetic contemplation that did not provide all their answers on first contact.,POSITIVE,http://www.salon.com/1997/03/21/rosenberg/
2001_a_space_odyssey,94,1/1/2000,Roger Ebert,TRUE,4-Apr,fresh,Chicago Sun-Times,"The film creates its effects essentially out of visuals and music. It is meditative. It does not cater to us, but wants to inspire us, enlarge us.",POSITIVE,https://www.rogerebert.com/reviews/great-movie-2001-a-space-odyssey-1968
2001_a_space_odyssey,98,1/1/2000,James Berardinelli,TRUE,4-Apr,fresh,ReelViews,"A cold, majestic motion picture, a movie that seeks to remind us of the vastness of space and our relatively insignificant place in it.",POSITIVE,http://www.reelviews.net/php_review_template.php?identifier=677
2001_a_space_odyssey,100,1/1/2000,Dennis Schwartz,FALSE,A+,fresh,Dennis Schwartz Movie Reviews,It's a film based on self-discovery and intellect and contemplation.,POSITIVE,https://dennisschwartzreviews.com/2001-2/
2001_a_space_odyssey,105,1/1/2000,Brian Webster,FALSE,93/100,fresh,Apollo Guide,Its intelligent attempt at exploring human development is as relevant today - long after the date the movie's climactic events are set - as when it was released in 1968.,POSITIVE,
2001_a_space_odyssey,117,1/1/2000,Tim Dirks,FALSE,,fresh,Filmsite,"2001: A Space Odyssey (1968) is a landmark, science fiction classic, an epic film containing more spectacular imagery than verbal dialogue.",POSITIVE,http://www.filmsite.org/twot.html
2001_a_space_odyssey,118,1/1/2000,James O'Ehley,FALSE,5-May,fresh,Sci-Fi Movie Page,Pure unadulterated sci-fi and there's nothing like it and probably never will be again.,POSITIVE,http://www.scifimoviepage.com/2001.html
2001_a_space_odyssey,122,1/1/2000,John A. Nesbit,FALSE,A,fresh,Old School Reviews,brilliantly conceived,POSITIVE,http://oldschoolreviews.com/rev_60/2001.htm
2001_a_space_odyssey,123,1/1/2000,Marjorie Baumgarten,TRUE,,fresh,Austin Chronicle,This is the way this ground-breaking monument was meant to be seen: in mind-boggling 70mm.,POSITIVE,http://www.austinchronicle.com/gbase/Calendar/Film?Film=oid%3a139473
